#{"t_start": 1748866346.891348, "env_id": "None"}
r,l,t
-355.0,12,212.128606
-323.0,12,213.139991
-396.0,12,213.978251
-405.0,12,215.0006
-268.0,12,216.043932
-422.0,12,216.275727
-193.0,12,217.083208
-126.0,12,217.798663
-363.0,12,218.622937
-275.0,12,219.483588
-320.0,12,220.98382
-383.0,12,221.854552
-401.0,12,222.760877
-336.0,12,223.489877
-339.0,12,224.557747
-378.0,12,224.900754
-241.0,12,225.394501
-376.0,12,227.033871
-381.0,12,227.65286
-425.0,12,228.449741
-265.0,12,229.140355
-411.0,12,229.865518
-414.0,12,230.00888
-259.0,12,230.900959
-348.0,12,231.583371
-314.0,12,232.348018
-343.0,12,233.134184
-267.0,12,233.409134
-380.0,12,234.694144
-212.0,12,235.111643
-415.0,12,235.783555
-421.0,12,236.825133
-357.0,12,237.444139
-133.0,12,238.036037
-277.0,12,238.868541
-417.0,12,240.059465
-386.0,12,240.970218
-378.0,12,241.969785
-419.0,12,242.569466
-407.0,12,243.568831
-445.0,12,244.049254
-264.0,12,244.563214
-287.0,12,245.630272
-326.0,12,246.818891
-369.0,12,247.734878
-413.0,12,248.854048
-409.0,12,249.691847
-455.0,12,250.471236
-164.0,12,251.673379
-370.0,12,252.394255
-385.0,12,253.279909
-180.0,12,254.127614
-426.0,12,254.995962
-390.0,12,256.024554
-329.0,12,257.021342
-345.0,12,257.929741
-310.0,12,258.273474
-319.0,12,259.166018
-403.0,12,259.907288
-316.0,12,260.955735
-384.0,12,261.638386
-264.0,12,262.041865
-345.0,12,262.773544
-417.0,12,263.468879
-229.0,12,264.652834
-303.0,12,264.914207
-417.0,12,266.080673
-454.0,12,266.428158
-439.0,12,267.644809
-306.0,12,268.404201
-401.0,12,268.962676
-432.0,12,269.276244
-310.0,12,269.462528
-267.0,12,270.102752
-381.0,12,270.638331
-371.0,12,270.840211
-420.0,12,271.783817
-296.0,12,272.768888
-393.0,12,274.218545
-345.0,12,274.991657
-395.0,12,275.881309
-313.0,12,276.655965
-448.0,12,277.131902
-344.0,12,277.846265
-292.0,12,278.510798
-355.0,12,279.286069
-362.0,12,280.328798
-229.0,12,281.460999
-444.0,12,282.173998
-106.0,12,283.124716
-431.0,12,283.778843
-293.0,12,284.937763
-445.0,12,286.033027
-355.0,12,286.922031
-436.0,12,288.103727
-399.0,12,288.797685
-359.0,12,289.566145
-385.0,12,290.340432
-381.0,12,291.20243
-375.0,12,291.819875
-251.0,12,292.497877
-387.0,12,293.405508
-422.0,12,294.235416
-413.0,12,295.17869
-321.0,12,295.932947
-393.0,12,296.694825
