#{"t_start": 1748835617.5918171, "env_id": "None"}
r,l,t
-176.0,12,124.750737
46.0,12,126.100347
-154.0,12,126.288871
-130.0,12,126.370112
-146.0,12,126.892284
50.0,12,126.957483
-188.0,12,127.170978
-42.0,12,128.203987
-160.0,12,128.780944
-84.0,12,129.564063
-128.0,12,129.879313
-88.0,12,130.438619
-96.0,12,131.662884
-100.0,12,132.731326
-82.0,12,133.060065
-114.0,12,134.209059
-240.0,12,134.851424
-186.0,12,134.863128
-126.0,12,135.473656
-68.0,12,135.483968
-136.0,12,135.579412
-140.0,12,135.8234
-190.0,12,135.836313
-152.0,12,136.525398
-154.0,12,137.045913
-56.0,12,137.896516
-24.0,12,139.164258
-240.0,12,139.699834
-190.0,12,140.268444
-212.0,12,140.280974
-6.0,12,140.368265
-98.0,12,140.679621
-66.0,12,140.733546
-162.0,12,140.959999
-206.0,12,141.304555
-116.0,12,141.666014
-118.0,12,142.497579
-86.0,12,143.331738
-182.0,12,143.454121
-204.0,12,143.498848
-126.0,12,144.110646
-200.0,12,144.308079
-48.0,12,144.532885
-166.0,12,144.981771
-106.0,12,144.993354
-186.0,12,145.006357
-160.0,12,145.928926
-166.0,12,146.694695
-66.0,12,146.709306
-176.0,12,147.445266
-140.0,12,148.697993
-240.0,12,148.709407
-226.0,12,149.724885
-60.0,12,149.737727
-136.0,12,150.191714
-194.0,12,150.212591
-48.0,12,150.418928
-176.0,12,150.65574
-200.0,12,150.831699
-130.0,12,151.027727
-156.0,12,151.040926
-200.0,12,151.470901
-138.0,12,152.098902
-122.0,12,152.424032
24.0,12,152.91871
-160.0,12,153.503028
-136.0,12,153.982734
-166.0,12,154.102164
-108.0,12,154.787864
-192.0,12,155.602247
-146.0,12,155.642188
-176.0,12,155.653615
-86.0,12,156.49657
-152.0,12,156.565095
-120.0,12,157.890199
6.0,12,158.600329
-108.0,12,159.767841
-138.0,12,159.956163
-30.0,12,160.424572
-158.0,12,160.875468
-136.0,12,160.956234
-216.0,12,161.19921
-240.0,12,161.212163
-240.0,12,161.224989
-202.0,12,161.652073
-100.0,12,161.661225
-188.0,12,161.780391
-92.0,12,162.651883
-58.0,12,162.878333
-212.0,12,163.053532
-108.0,12,163.062295
-162.0,12,163.072946
-162.0,12,163.080819
-50.0,12,163.154185
-188.0,12,163.306818
-102.0,12,163.486659
-188.0,12,163.751224
-76.0,12,164.064053
-122.0,12,164.074529
-86.0,12,164.20341
-154.0,12,164.336851
-132.0,12,165.250523
-36.0,12,165.520628
-240.0,12,165.74123
-182.0,12,166.887237
-174.0,12,167.48012
-202.0,12,167.49419
-190.0,12,168.430148
-190.0,12,168.445907
94.0,12,168.538017
-140.0,12,169.388663
-170.0,12,170.113003
-194.0,12,170.782253
-166.0,12,171.573262
-126.0,12,172.292438
76.0,12,172.305469
-166.0,12,172.317513
-102.0,12,173.045248
-202.0,12,173.056441
-240.0,12,173.574625
-182.0,12,174.231223
-240.0,12,174.294797
-184.0,12,174.537211
-14.0,12,174.550201
44.0,12,175.178912
-70.0,12,175.278402
-206.0,12,176.151474
-64.0,12,176.161974
-206.0,12,176.814943
-240.0,12,177.124855
-20.0,12,178.006961
-118.0,12,178.682294
-120.0,12,180.15287
-84.0,12,180.249517
-106.0,12,180.883041
58.0,12,181.158739
-194.0,12,181.784793
-202.0,12,182.574462
-162.0,12,183.301263
-6.0,12,183.35153
-86.0,12,183.925957
-168.0,12,184.763953
-240.0,12,185.875276
-98.0,12,185.971467
-28.0,12,185.983606
-78.0,12,186.431109
-240.0,12,186.516913
-98.0,12,186.809633
-182.0,12,186.817029
-86.0,12,186.997215
-192.0,12,187.858211
-162.0,12,187.994843
-8.0,12,188.281343
-170.0,12,189.143207
-10.0,12,189.155176
-206.0,12,189.165588
-110.0,12,189.241926
-154.0,12,189.253258
-106.0,12,189.315845
-158.0,12,189.427053
-76.0,12,189.587585
-84.0,12,189.655331
-72.0,12,190.235588
-240.0,12,190.850856
-190.0,12,191.166812
-92.0,12,191.310925
-32.0,12,192.324511
-186.0,12,192.338039
-198.0,12,193.038023
-184.0,12,193.658763
-114.0,12,194.472549
-100.0,12,195.266342
-196.0,12,195.43152
-30.0,12,196.592053
-80.0,12,197.300508
-240.0,12,197.839577
-18.0,12,197.849844
-188.0,12,198.005829
-142.0,12,198.72265
-168.0,12,198.740282
58.0,12,199.637177
-172.0,12,200.500281
-102.0,12,201.449129
78.0,12,201.765561
-124.0,12,201.772688
-208.0,12,202.216905
-136.0,12,202.225655
-18.0,12,202.238295
-190.0,12,202.319464
-126.0,12,203.15061
-126.0,12,203.815021
-202.0,12,204.643025
58.0,12,204.797595
-134.0,12,205.518306
-134.0,12,205.947301
-166.0,12,205.960632
-142.0,12,206.970637
-68.0,12,207.113784
-60.0,12,207.275296
-34.0,12,208.378415
-116.0,12,208.709585
-200.0,12,208.896304
-204.0,12,209.038734
-240.0,12,209.241539
60.0,12,210.502761
-118.0,12,211.143708
-206.0,12,211.158142
-130.0,12,211.231271
36.0,12,211.994521
-198.0,12,212.282091
-152.0,12,212.939321
-58.0,12,213.686385
-202.0,12,213.696876
-32.0,12,214.769916
-4.0,12,214.930112
-192.0,12,214.939232
-120.0,12,215.402439
-164.0,12,216.111375
14.0,12,216.88224
-198.0,12,217.132523
-16.0,12,217.36047
-84.0,12,217.431427
-128.0,12,218.206213
-140.0,12,218.819571
-190.0,12,219.521128
-240.0,12,219.888491
-90.0,12,219.899023
-216.0,12,220.505248
-22.0,12,220.5192
-240.0,12,220.795246
46.0,12,220.916397
-218.0,12,221.468293
-34.0,12,221.819099
-210.0,12,222.710238
-94.0,12,223.72724
-240.0,12,223.859226
-106.0,12,224.777293
-10.0,12,224.878939
10.0,12,225.429172
-156.0,12,226.123521
-176.0,12,226.35559
-108.0,12,226.571892
-120.0,12,226.585758
-190.0,12,226.592502
-146.0,12,226.821961
-148.0,12,227.026845
-176.0,12,227.528269
-152.0,12,228.273058
-54.0,12,228.415491
-222.0,12,229.340644
-240.0,12,230.059968
-194.0,12,230.116576
-56.0,12,230.779942
74.0,12,231.471818
-104.0,12,231.759452
-94.0,12,232.545324
-176.0,12,233.013251
-212.0,12,233.431065
-228.0,12,233.729501
-240.0,12,233.933101
-222.0,12,234.330816
-190.0,12,234.560804
-182.0,12,234.799578
-144.0,12,235.654061
-192.0,12,236.44957
-146.0,12,237.338773
-146.0,12,237.352045
18.0,12,238.105904
-212.0,12,238.399989
-32.0,12,239.255988
-8.0,12,240.521112
-174.0,12,240.714221
-228.0,12,241.521221
-180.0,12,242.518899
-58.0,12,242.720307
-220.0,12,243.129401
-92.0,12,243.221974
-92.0,12,243.300396
-194.0,12,243.956388
-224.0,12,244.18008
-202.0,12,244.910047
-208.0,12,245.097993
-122.0,12,245.145774
-184.0,12,245.312341
-152.0,12,246.377943
-92.0,12,247.141558
-178.0,12,247.193785
-134.0,12,247.355208
-182.0,12,247.885315
-160.0,12,249.346313
-240.0,12,250.066988
-62.0,12,250.082168
-96.0,12,250.190588
-82.0,12,250.400086
-206.0,12,250.404675
-178.0,12,251.289802
-130.0,12,251.412533
-198.0,12,252.238881
-110.0,12,252.778554
-76.0,12,253.626696
-74.0,12,254.368899
-78.0,12,255.085962
-140.0,12,255.405979
-72.0,12,255.781717
-182.0,12,256.489564
-154.0,12,256.598519
-210.0,12,256.837877
-84.0,12,258.090596
-122.0,12,258.63293
-160.0,12,259.807552
-224.0,12,260.685553
-120.0,12,261.005057
-160.0,12,261.563068
-224.0,12,262.196619
-156.0,12,263.147616
-164.0,12,264.1823
-200.0,12,264.355829
-136.0,12,264.957326
-14.0,12,265.894717
-180.0,12,266.011006
-180.0,12,266.25678
-108.0,12,266.371947
16.0,12,266.665361
-184.0,12,267.376428
-156.0,12,267.813542
-76.0,12,267.9677
-232.0,12,268.79899
-114.0,12,269.737218
26.0,12,270.502704
-152.0,12,270.59026
-162.0,12,270.78708
-82.0,12,271.419321
-218.0,12,272.417106
-124.0,12,273.300826
-124.0,12,273.884496
-34.0,12,274.010788
-104.0,12,274.196366
-174.0,12,274.311909
-118.0,12,274.321105
-240.0,12,275.323661
-240.0,12,275.72507
-240.0,12,275.983971
-156.0,12,276.34843
-20.0,12,277.132663
-216.0,12,277.40566
32.0,12,277.500806
-144.0,12,278.485716
-140.0,12,279.192043
-150.0,12,280.085011
-130.0,12,280.829653
-136.0,12,280.958639
4.0,12,281.611282
-78.0,12,281.87333
38.0,12,281.887185
-124.0,12,282.59129
-84.0,12,283.290072
-162.0,12,283.557051
-204.0,12,284.565481
-74.0,12,284.673813
-240.0,12,284.743483
-170.0,12,285.471593
-148.0,12,285.56804
-116.0,12,286.253129
-74.0,12,287.055336
-120.0,12,287.946301
-166.0,12,287.957089
-42.0,12,288.036278
-10.0,12,288.927385
-172.0,12,289.026965
-240.0,12,289.25525
-20.0,12,290.628851
-170.0,12,291.485857
-130.0,12,291.731742
-106.0,12,291.74278
-174.0,12,292.139101
-182.0,12,293.17055
-136.0,12,293.442976
-98.0,12,293.670422
48.0,12,294.083181
-88.0,12,294.64399
-204.0,12,294.820658
-186.0,12,295.213701
-174.0,12,296.097355
-196.0,12,296.188592
-222.0,12,297.110486
-172.0,12,297.120712
-154.0,12,297.386522
-164.0,12,297.695624
-190.0,12,298.039582
-44.0,12,298.32829
-218.0,12,299.142389
-98.0,12,299.151947
-170.0,12,299.621031
70.0,12,300.49378
-206.0,12,300.932991
42.0,12,301.138769
-240.0,12,301.334931
-164.0,12,301.349779
-166.0,12,301.356831
-70.0,12,301.464812
-154.0,12,302.107386
