#{"t_start": 1748835574.5836341, "env_id": "None"}
r,l,t
-186.0,12,1.176893
-60.0,12,1.178889
-64.0,12,1.181069
-156.0,12,1.184066
-102.0,12,1.186085
-172.0,12,1.186085
-210.0,12,1.186085
-88.0,12,1.186085
-104.0,12,1.296891
-202.0,12,1.312517
-240.0,12,1.323903
-104.0,12,1.324765
-118.0,12,1.34039
-124.0,12,1.34039
56.0,12,1.356015
-240.0,12,1.371639
-152.0,12,1.387262
-108.0,12,1.387262
90.0,12,1.402886
-30.0,12,1.402886
-160.0,12,1.41851
-44.0,12,1.434135
-152.0,12,1.445174
-100.0,12,1.456859
-2.0,12,1.46485
-66.0,12,1.46485
6.0,12,1.480475
-84.0,12,1.480475
-226.0,12,1.4961
-148.0,12,1.4961
-58.0,12,1.4961
-208.0,12,1.511724
-104.0,12,1.511724
-72.0,12,1.527348
-120.0,12,1.527348
-130.0,12,1.542974
-106.0,12,1.542974
90.0,12,1.542974
44.0,12,1.564186
-66.0,12,1.577947
-154.0,12,1.586965
-60.0,12,1.58897
6.0,12,1.604615
-172.0,12,1.604615
-150.0,12,1.604615
-50.0,12,1.620219
-116.0,12,1.620219
-120.0,12,1.635865
-190.0,12,1.635865
-52.0,12,1.651467
-156.0,12,1.651467
-112.0,12,1.667093
-170.0,12,1.667093
-180.0,12,1.667093
-144.0,12,1.682736
-150.0,12,1.682736
-240.0,12,1.700816
-88.0,12,1.707959
-202.0,12,1.714818
-112.0,12,1.722768
-134.0,12,1.729814
10.0,12,1.735839
-240.0,12,1.735839
-170.0,12,1.735839
-186.0,12,1.75909
-142.0,12,1.766909
-52.0,12,1.773636
-172.0,12,1.777645
-164.0,12,1.777645
-92.0,12,1.793271
-100.0,12,1.793271
-166.0,12,1.808915
-180.0,12,1.808915
-206.0,12,1.82452
-88.0,12,1.82452
-132.0,12,1.82452
-114.0,12,1.840142
-190.0,12,1.840142
-154.0,12,1.855766
-202.0,12,1.871975
-230.0,12,1.880476
-172.0,12,1.887633
-2.0,12,1.894648
-166.0,12,1.894648
-52.0,12,1.894648
-240.0,12,1.910294
-240.0,12,1.910294
-104.0,12,1.925919
-140.0,12,1.925919
-156.0,12,1.941542
-100.0,12,1.957167
-188.0,12,1.957167
-186.0,12,1.972771
-220.0,12,1.972771
-88.0,12,1.972771
-172.0,12,1.988415
-146.0,12,1.988415
-98.0,12,2.004018
-114.0,12,2.004018
42.0,12,2.004018
-204.0,12,2.019642
-112.0,12,2.035288
-154.0,12,2.035288
-164.0,12,2.05089
-124.0,12,2.05089
-76.0,12,2.05089
-126.0,12,2.066538
-130.0,12,2.066538
-142.0,12,2.082159
-94.0,12,2.082159
-210.0,12,2.097764
-98.0,12,2.097764
-90.0,12,2.113408
-200.0,12,2.113408
-216.0,12,2.129032
-110.0,12,2.129032
-104.0,12,2.144656
-202.0,12,2.144656
-84.0,12,2.160259
-60.0,12,2.160259
-138.0,12,2.175904
-154.0,12,2.191507
-8.0,12,2.191507
-202.0,12,2.207133
-204.0,12,2.207133
-84.0,12,2.207133
-214.0,12,2.232809
-16.0,12,2.240938
-156.0,12,2.241947
-204.0,12,2.241947
-76.0,12,2.257593
-240.0,12,2.257593
-98.0,12,2.273217
-58.0,12,2.273217
-120.0,12,2.288842
-202.0,12,2.288842
-132.0,12,2.288842
-116.0,12,2.304466
-154.0,12,2.304466
-66.0,12,2.320089
-176.0,12,2.320089
-124.0,12,2.335713
-50.0,12,2.335713
-240.0,12,2.335713
-188.0,12,2.351316
-198.0,12,2.366962
4.0,12,2.366962
-80.0,12,2.366962
-138.0,12,2.382586
-48.0,12,2.382586
-76.0,12,2.39821
-240.0,12,2.39821
-98.0,12,2.413834
-156.0,12,2.413834
-54.0,12,2.429437
-60.0,12,2.429437
-80.0,12,2.445083
-146.0,12,2.460685
-204.0,12,2.460685
-40.0,12,2.476311
-30.0,12,2.476311
-224.0,12,2.491935
-186.0,12,2.507559
-118.0,12,2.507559
-188.0,12,2.523183
-90.0,12,2.538807
-184.0,12,2.538807
-160.0,12,2.55443
-28.0,12,2.55443
-134.0,12,2.570076
-154.0,12,2.570076
-114.0,12,2.570076
-102.0,12,2.585679
-190.0,12,2.585679
-108.0,12,2.601302
-138.0,12,2.616926
-156.0,12,2.616926
-96.0,12,2.63255
-174.0,12,2.648174
-100.0,12,2.648174
-240.0,12,2.648174
-190.0,12,2.6638
-130.0,12,2.679454
-114.0,12,2.679454
-76.0,12,2.695046
-120.0,12,2.695046
-62.0,12,2.695046
-190.0,12,2.710692
30.0,12,2.729249
-86.0,12,2.742107
-240.0,12,2.750106
-136.0,12,2.750106
-80.0,12,2.750106
-46.0,12,2.774643
-176.0,12,2.784809
-240.0,12,2.784809
-152.0,12,2.800454
-124.0,12,2.800454
-2.0,12,2.816079
-94.0,12,2.816079
-132.0,12,2.831703
-148.0,12,2.831703
-24.0,12,2.847327
-144.0,12,2.847327
-168.0,12,2.862932
-240.0,12,2.862932
