#{"t_start": 1748839300.8529782, "env_id": "None"}
r,l,t
-160.0,12,0.391186
-200.0,12,1.198478
-148.0,12,1.711329
-180.0,12,2.316815
-182.0,12,3.126687
-108.0,12,3.897912
-70.0,12,4.917612
-86.0,12,5.791459
-178.0,12,6.362278
-218.0,12,7.239596
-126.0,12,8.245933
-38.0,12,8.710353
-172.0,12,9.587893
-190.0,12,10.811491
-240.0,12,11.758421
-140.0,12,12.475967
-190.0,12,13.4656
-58.0,12,14.467785
-192.0,12,15.481183
-98.0,12,16.412063
-152.0,12,16.994434
-66.0,12,18.408311
-118.0,12,19.20564
-184.0,12,19.895352
-170.0,12,20.467675
-212.0,12,21.588853
-124.0,12,22.504838
-24.0,12,23.568415
-152.0,12,24.363729
-106.0,12,25.133308
116.0,12,26.196574
-106.0,12,27.211016
-84.0,12,27.932841
-84.0,12,28.918787
-114.0,12,29.701555
-172.0,12,30.499436
-160.0,12,31.364821
-210.0,12,31.9168
-78.0,12,32.709975
-168.0,12,33.481597
-66.0,12,34.17965
-212.0,12,34.958939
-144.0,12,35.64962
-78.0,12,36.588146
-224.0,12,37.357204
-150.0,12,38.091305
-174.0,12,38.766376
-110.0,12,39.493538
-78.0,12,40.612941
-114.0,12,41.340246
-190.0,12,42.083363
-142.0,12,42.429338
-120.0,12,43.19646
-184.0,12,43.749989
-134.0,12,44.745566
-148.0,12,45.530514
-142.0,12,46.546055
-204.0,12,47.389871
-98.0,12,48.25889
-200.0,12,48.80548
-190.0,12,49.713983
-50.0,12,50.632745
-218.0,12,51.222383
-240.0,12,52.211658
-170.0,12,53.310401
-36.0,12,54.267037
-162.0,12,55.217058
-132.0,12,55.847159
-102.0,12,56.819584
-142.0,12,57.484471
-140.0,12,58.678873
-126.0,12,59.657224
-58.0,12,60.470681
-128.0,12,61.152461
-222.0,12,61.804601
-162.0,12,62.652488
-8.0,12,63.433983
-182.0,12,63.990129
-186.0,12,65.437418
-128.0,12,66.24919
-206.0,12,67.072157
-194.0,12,68.038469
-82.0,12,68.778036
-122.0,12,69.222611
-240.0,12,69.766825
-186.0,12,70.606581
-162.0,12,71.062871
-208.0,12,71.8484
-84.0,12,72.624124
-240.0,12,73.125695
-214.0,12,73.926533
-158.0,12,75.01572
-62.0,12,76.242582
-202.0,12,76.790582
-126.0,12,77.695789
-126.0,12,78.931476
-126.0,12,79.74853
-240.0,12,80.231054
-174.0,12,81.063357
-158.0,12,81.965483
-156.0,12,82.90508
-198.0,12,83.648071
-152.0,12,84.569719
-110.0,12,85.434866
-38.0,12,86.139931
-184.0,12,86.754288
-114.0,12,87.849148
-188.0,12,88.504395
-138.0,12,89.285264
-26.0,12,90.019416
-108.0,12,90.783803
-168.0,12,91.820071
-170.0,12,92.806364
-158.0,12,93.83655
-16.0,12,94.397226
-84.0,12,95.708178
-86.0,12,96.238429
-240.0,12,96.894841
-106.0,12,97.825924
-178.0,12,98.399419
-94.0,12,99.301909
-148.0,12,100.350075
-46.0,12,101.444276
-240.0,12,102.471409
-126.0,12,103.063443
-8.0,12,103.470796
-196.0,12,104.319166
36.0,12,105.064723
-188.0,12,106.347121
-8.0,12,107.152678
-178.0,12,108.128535
20.0,12,109.17201
-170.0,12,109.546084
-96.0,12,110.286216
-240.0,12,111.062875
-120.0,12,111.44211
-170.0,12,112.384671
-110.0,12,113.150709
-102.0,12,114.19862
-208.0,12,114.868783
-240.0,12,115.907663
78.0,12,116.988116
-174.0,12,117.710538
-240.0,12,118.637531
-126.0,12,119.489737
-132.0,12,120.276909
-212.0,12,121.139848
-120.0,12,122.201038
-184.0,12,123.127643
-198.0,12,124.073324
-82.0,12,125.187168
-60.0,12,126.093226
-150.0,12,126.836093
-64.0,12,127.945885
-116.0,12,128.852099
-140.0,12,129.51855
-204.0,12,129.929279
-86.0,12,130.542754
-72.0,12,131.354095
-94.0,12,132.16918
-30.0,12,133.567995
-214.0,12,134.356542
-34.0,12,135.200603
-158.0,12,136.000204
-204.0,12,136.972103
-160.0,12,137.886509
-80.0,12,138.763567
-220.0,12,139.191863
-98.0,12,139.89922
-152.0,12,140.956649
-208.0,12,141.814074
-240.0,12,142.161685
-208.0,12,142.942048
-112.0,12,143.248394
-240.0,12,144.109424
-86.0,12,144.748062
-184.0,12,145.514266
-146.0,12,146.47185
-196.0,12,147.00148
-142.0,12,147.982563
-166.0,12,148.929694
-202.0,12,149.669411
-104.0,12,150.171208
-140.0,12,150.491498
2.0,12,151.20083
-214.0,12,151.88441
-218.0,12,152.819446
-188.0,12,153.513532
-146.0,12,154.351208
-208.0,12,155.158223
12.0,12,156.124408
-104.0,12,157.073921
-124.0,12,157.685215
-240.0,12,158.517815
-218.0,12,159.298434
42.0,12,159.884682
-204.0,12,160.712238
-212.0,12,161.325891
-92.0,12,162.054478
-214.0,12,162.66544
-210.0,12,163.025877
-140.0,12,163.784605
-240.0,12,164.651975
-174.0,12,165.341799
-44.0,12,166.239102
-240.0,12,166.995396
-240.0,12,167.472023
-118.0,12,168.510338
-124.0,12,169.35339
26.0,12,169.968471
-102.0,12,170.535397
-240.0,12,171.409355
-120.0,12,173.056508
-182.0,12,173.841084
-240.0,12,174.258905
-112.0,12,175.084448
-98.0,12,175.975266
-182.0,12,176.900499
-126.0,12,177.866727
-56.0,12,178.546166
-158.0,12,179.168188
-240.0,12,180.066165
6.0,12,180.836438
-138.0,12,181.691118
-170.0,12,182.098791
-216.0,12,182.548102
-240.0,12,183.156352
-146.0,12,183.789282
-48.0,12,184.676375
-240.0,12,185.279933
-42.0,12,186.156336
-202.0,12,186.940544
-144.0,12,188.171948
-172.0,12,188.669235
-82.0,12,189.643306
-172.0,12,190.57451
-174.0,12,191.581279
-192.0,12,192.26402
-70.0,12,193.116045
-164.0,12,193.892862
-240.0,12,194.778234
-222.0,12,195.595685
-16.0,12,196.301117
-146.0,12,197.229908
-200.0,12,197.95191
-192.0,12,198.592805
-224.0,12,199.261237
-134.0,12,200.248642
-96.0,12,201.402286
-134.0,12,202.170046
68.0,12,202.783099
-46.0,12,203.431888
-162.0,12,204.05015
-118.0,12,204.893711
-146.0,12,205.615659
-56.0,12,206.192215
-210.0,12,206.949549
-46.0,12,208.046134
-240.0,12,208.605337
-222.0,12,209.562421
-156.0,12,210.220084
-154.0,12,211.343174
-226.0,12,212.126797
-186.0,12,212.434618
-240.0,12,213.143957
-106.0,12,213.795077
-94.0,12,214.350819
-218.0,12,215.449084
-116.0,12,216.075959
22.0,12,217.035186
-208.0,12,218.479065
-136.0,12,219.363853
-102.0,12,220.211819
90.0,12,220.836116
4.0,12,221.369095
-204.0,12,222.092278
-220.0,12,223.16583
-202.0,12,223.717205
-176.0,12,224.506723
-168.0,12,225.134945
-110.0,12,226.403399
-240.0,12,227.624475
-218.0,12,228.264834
-22.0,12,229.408688
-76.0,12,230.102779
-196.0,12,231.039761
-74.0,12,231.978079
-240.0,12,232.913962
-198.0,12,233.989528
-62.0,12,234.422043
-176.0,12,235.632505
-108.0,12,236.84562
-156.0,12,237.273891
-176.0,12,237.919355
-80.0,12,238.840856
-186.0,12,240.377836
-34.0,12,241.356927
-106.0,12,242.425369
-212.0,12,243.252985
-154.0,12,243.805554
-138.0,12,244.466501
-224.0,12,245.17286
-176.0,12,246.048998
-192.0,12,246.794867
-150.0,12,247.576736
-180.0,12,248.299402
-8.0,12,249.259984
-184.0,12,250.120066
-156.0,12,250.947177
-240.0,12,251.733049
-176.0,12,252.301006
-202.0,12,252.890681
-146.0,12,253.833437
12.0,12,255.204873
-218.0,12,256.079949
128.0,12,256.944668
-86.0,12,257.64897
-22.0,12,258.618297
-188.0,12,259.614174
-154.0,12,260.504352
-20.0,12,261.60339
-210.0,12,262.608222
-240.0,12,263.428391
-64.0,12,264.982456
-120.0,12,265.722898
-102.0,12,266.641509
-182.0,12,267.384447
-206.0,12,268.158194
-186.0,12,269.279464
-204.0,12,269.97778
-72.0,12,270.842826
-176.0,12,271.95316
-88.0,12,272.578562
-170.0,12,273.248779
-184.0,12,274.318025
-126.0,12,274.853501
-148.0,12,275.45862
-92.0,12,276.415596
-148.0,12,277.286711
-168.0,12,277.838
-106.0,12,278.451077
-126.0,12,279.14731
-182.0,12,280.099406
-154.0,12,280.938775
-240.0,12,281.599141
-134.0,12,282.104213
-6.0,12,282.969324
-148.0,12,283.992521
-162.0,12,284.695709
-102.0,12,285.242311
-82.0,12,286.732113
-168.0,12,287.480356
-240.0,12,287.877023
-68.0,12,288.727823
-188.0,12,289.583152
-80.0,12,290.551738
18.0,12,291.069205
-176.0,12,291.949092
-84.0,12,292.574019
-174.0,12,293.514926
-162.0,12,294.337719
-210.0,12,295.274916
-178.0,12,296.200747
-190.0,12,297.08934
-124.0,12,297.664899
14.0,12,298.612074
-206.0,12,299.207733
-126.0,12,299.899281
-122.0,12,300.857103
-140.0,12,301.699876
-158.0,12,302.828369
-170.0,12,303.782765
-192.0,12,304.602008
-240.0,12,305.216974
-240.0,12,306.154301
-40.0,12,307.271911
-112.0,12,307.750767
-48.0,12,308.300015
-118.0,12,309.054678
-86.0,12,310.044525
-156.0,12,310.532428
-166.0,12,311.157717
-178.0,12,312.45938
-140.0,12,312.884955
-80.0,12,313.843949
-178.0,12,314.514564
-146.0,12,314.910357
-168.0,12,315.496603
-94.0,12,316.369121
-232.0,12,316.837443
-80.0,12,317.459244
-220.0,12,318.287524
-170.0,12,318.957843
-20.0,12,319.849633
-178.0,12,320.579986
-130.0,12,321.048939
-158.0,12,321.971304
-92.0,12,323.176093
-240.0,12,324.02665
-240.0,12,324.357478
-112.0,12,325.592562
-134.0,12,326.377634
-54.0,12,326.894221
36.0,12,327.494851
-172.0,12,328.411635
-184.0,12,329.174528
-140.0,12,330.065518
-58.0,12,330.811976
-80.0,12,331.823059
-190.0,12,332.247735
-240.0,12,333.52189
-168.0,12,334.804368
-176.0,12,335.600618
-216.0,12,336.392553
-162.0,12,337.209971
-240.0,12,337.626009
-34.0,12,338.442702
-106.0,12,339.334327
-164.0,12,340.260446
-170.0,12,340.727377
-168.0,12,341.434294
-202.0,12,342.818153
-240.0,12,343.598735
-110.0,12,344.470944
-170.0,12,345.216467
-58.0,12,346.014343
-122.0,12,347.194262
-96.0,12,347.85268
-208.0,12,348.562648
-192.0,12,349.641426
-162.0,12,350.454115
-114.0,12,351.281995
-90.0,12,352.2806
-170.0,12,352.899682
-34.0,12,354.399367
-132.0,12,356.268557
-160.0,12,357.520718
46.0,12,358.266055
-190.0,12,359.412284
-156.0,12,360.285121
-178.0,12,361.303964
-130.0,12,361.999951
-68.0,12,362.575246
-182.0,12,363.5089
-168.0,12,364.269985
-110.0,12,365.145136
-44.0,12,365.935481
-2.0,12,366.957296
-216.0,12,367.616573
-240.0,12,368.362653
0.0,12,369.906046
-72.0,12,370.590585
-162.0,12,371.450684
-110.0,12,372.326048
-240.0,12,372.506655
-210.0,12,373.508321
-76.0,12,374.951406
-190.0,12,375.401876
-240.0,12,376.089577
-112.0,12,376.49124
-178.0,12,377.792547
-176.0,12,378.481856
60.0,12,379.124469
-140.0,12,380.142411
-182.0,12,380.606567
-46.0,12,381.908595
-162.0,12,382.529298
-126.0,12,383.027289
-184.0,12,384.010243
-156.0,12,385.281566
-190.0,12,385.994098
-108.0,12,386.819906
-98.0,12,387.791471
-28.0,12,389.130313
-200.0,12,390.177542
-198.0,12,391.495525
-134.0,12,392.380062
-148.0,12,393.299519
-148.0,12,394.20678
-240.0,12,395.272855
-72.0,12,396.008114
-188.0,12,396.704924
-148.0,12,397.548976
-68.0,12,398.598858
-130.0,12,399.535954
-136.0,12,400.593375
-196.0,12,401.122151
-206.0,12,401.879539
-132.0,12,402.908753
-88.0,12,403.86258
-86.0,12,404.614962
-122.0,12,405.331355
-160.0,12,406.007786
-180.0,12,406.461564
-134.0,12,407.285551
-202.0,12,408.103915
-88.0,12,408.534486
-98.0,12,409.334638
-96.0,12,409.930297
-240.0,12,410.818889
-162.0,12,411.791384
-100.0,12,412.277724
-224.0,12,413.066736
-144.0,12,414.065455
-54.0,12,415.384211
-192.0,12,416.015223
-152.0,12,416.225471
-110.0,12,416.963717
-126.0,12,417.909992
38.0,12,418.647173
-88.0,12,419.561893
-156.0,12,420.34491
-110.0,12,421.341347
-68.0,12,422.301833
-26.0,12,423.238053
-198.0,12,423.912763
-106.0,12,425.080742
-168.0,12,425.734439
-132.0,12,426.334836
-240.0,12,427.146769
-240.0,12,427.767271
-138.0,12,428.89211
-182.0,12,429.503009
-132.0,12,430.592402
-240.0,12,431.856183
-102.0,12,432.594774
-180.0,12,433.297351
88.0,12,434.109131
-144.0,12,434.498831
-46.0,12,435.248469
-240.0,12,435.47534
-144.0,12,436.808948
-200.0,12,437.641887
-232.0,12,438.42331
-126.0,12,439.323658
-146.0,12,440.075722
-54.0,12,440.936441
-168.0,12,441.707047
-60.0,12,442.421346
-114.0,12,443.302778
-138.0,12,444.290835
-160.0,12,445.086892
-180.0,12,445.543611
-54.0,12,446.535205
-148.0,12,447.287512
-90.0,12,448.016906
-8.0,12,448.736577
50.0,12,449.234591
-228.0,12,449.962102
-6.0,12,450.608507
-184.0,12,451.378055
-84.0,12,451.892071
-142.0,12,452.43687
-96.0,12,453.087112
-84.0,12,453.791804
-184.0,12,454.836976
-152.0,12,455.633122
-210.0,12,456.340868
-118.0,12,456.984154
-140.0,12,457.68548
-132.0,12,458.355108
-160.0,12,459.281215
-212.0,12,460.344123
6.0,12,461.069124
-166.0,12,461.893532
-160.0,12,462.974841
-218.0,12,463.772535
16.0,12,464.532414
-130.0,12,465.242034
-172.0,12,466.138258
2.0,12,466.633794
-232.0,12,467.447834
-154.0,12,468.188228
-78.0,12,468.884275
-132.0,12,469.429744
-44.0,12,470.481571
-112.0,12,471.254616
-240.0,12,472.164379
-210.0,12,472.976657
-232.0,12,473.560477
-210.0,12,474.255939
-240.0,12,475.448134
-112.0,12,476.419564
-120.0,12,477.472017
-170.0,12,478.253729
-168.0,12,478.522487
-170.0,12,479.425555
-202.0,12,480.51992
-240.0,12,481.152558
-146.0,12,481.776192
-16.0,12,482.37941
-80.0,12,483.121409
-170.0,12,483.983284
-68.0,12,484.850592
-174.0,12,485.665302
-150.0,12,487.016711
-218.0,12,487.930891
-168.0,12,488.635204
-210.0,12,489.879339
-154.0,12,490.853005
-88.0,12,491.81574
-188.0,12,492.441058
-200.0,12,493.03439
-240.0,12,493.85071
-208.0,12,494.614385
-222.0,12,495.335019
-190.0,12,496.131114
-144.0,12,497.138742
-202.0,12,498.169967
-208.0,12,498.994251
-132.0,12,499.723193
-92.0,12,500.400247
-108.0,12,501.162003
-168.0,12,501.928706
-96.0,12,503.075214
-224.0,12,503.98722
-24.0,12,504.608475
-144.0,12,505.51475
-240.0,12,506.427767
-140.0,12,507.308783
-204.0,12,508.243565
-68.0,12,509.491405
-194.0,12,509.987086
-86.0,12,510.969289
-100.0,12,511.522722
18.0,12,512.216041
-130.0,12,513.079159
-200.0,12,513.877953
-240.0,12,514.090248
-156.0,12,514.343832
-240.0,12,514.916358
80.0,12,515.553327
-156.0,12,516.246177
98.0,12,517.057044
-240.0,12,517.559438
10.0,12,518.403668
22.0,12,519.272894
-76.0,12,520.070744
-212.0,12,520.721143
-90.0,12,521.626124
-188.0,12,522.879659
-168.0,12,523.6131
-42.0,12,524.610104
-24.0,12,525.056314
