#{"t_start": 1748856809.0898216, "env_id": "None"}
r,l,t
-168.0,12,190.878286
-240.0,12,191.325961
10.0,12,192.104368
-192.0,12,192.876644
-184.0,12,193.595535
-44.0,12,194.340659
-106.0,12,195.266977
-150.0,12,195.569744
-104.0,12,196.187724
-198.0,12,197.160427
-240.0,12,198.790212
-142.0,12,199.097368
-240.0,12,199.914309
-140.0,12,200.580044
-222.0,12,200.789326
-34.0,12,201.882922
-132.0,12,202.737991
-142.0,12,203.320285
-194.0,12,204.342081
-58.0,12,205.187208
-190.0,12,205.496612
-56.0,12,206.180233
-68.0,12,207.152415
-208.0,12,207.996595
-240.0,12,209.158298
-100.0,12,210.192299
-46.0,12,211.068169
-166.0,12,211.899371
-94.0,12,212.14938
-46.0,12,212.439063
-240.0,12,212.557613
-160.0,12,212.748757
-150.0,12,213.033699
-166.0,12,213.338515
-130.0,12,213.579377
-188.0,12,214.191903
-84.0,12,214.401628
-150.0,12,214.677249
-34.0,12,215.616208
-220.0,12,216.079654
-132.0,12,216.997569
-240.0,12,217.683139
58.0,12,218.004216
-210.0,12,218.819867
-70.0,12,219.435501
-138.0,12,220.395233
-240.0,12,220.974304
-154.0,12,221.160542
-70.0,12,221.337004
-102.0,12,221.897388
-166.0,12,222.657177
-162.0,12,222.806664
-82.0,12,223.031344
-172.0,12,223.943986
-240.0,12,224.495385
-140.0,12,224.671238
-174.0,12,224.820858
-176.0,12,225.395239
-94.0,12,226.171659
-122.0,12,226.908676
90.0,12,227.812652
-240.0,12,228.772871
-184.0,12,229.851736
-174.0,12,230.950392
102.0,12,231.637927
-178.0,12,232.880324
-94.0,12,233.023734
-22.0,12,233.681568
-100.0,12,234.607654
-174.0,12,235.168932
-150.0,12,235.462486
-198.0,12,236.627865
-204.0,12,237.356797
-140.0,12,238.238101
120.0,12,239.030241
-128.0,12,239.844784
-240.0,12,241.372104
-240.0,12,242.176887
-240.0,12,242.915909
-134.0,12,244.011309
-176.0,12,244.450368
-84.0,12,245.165658
-194.0,12,246.130806
-54.0,12,246.83634
-210.0,12,247.009663
-174.0,12,247.931598
16.0,12,248.032053
-210.0,12,248.707783
-152.0,12,249.789297
-192.0,12,250.726662
-186.0,12,251.103427
-92.0,12,251.908329
-146.0,12,252.585773
-190.0,12,253.261733
-240.0,12,253.816301
-190.0,12,254.770455
-184.0,12,254.87801
-168.0,12,255.91094
-76.0,12,256.19695
32.0,12,256.750653
-136.0,12,257.675259
-166.0,12,257.740533
-220.0,12,258.868061
-224.0,12,259.659936
-154.0,12,260.669026
-212.0,12,261.487747
-72.0,12,261.591194
-52.0,12,262.51085
-110.0,12,263.287784
-146.0,12,264.210109
-178.0,12,264.856706
-96.0,12,265.8729
-142.0,12,266.152858
-186.0,12,267.089506
-204.0,12,267.765415
-102.0,12,268.817563
-190.0,12,269.841223
-62.0,12,270.738918
-228.0,12,271.45129
-98.0,12,272.087281
-56.0,12,272.849787
-142.0,12,272.94755
-152.0,12,273.856364
-138.0,12,275.046477
-14.0,12,275.84702
-116.0,12,276.76536
60.0,12,276.837834
-194.0,12,277.47665
24.0,12,278.288639
-50.0,12,279.315113
-22.0,12,280.329473
-146.0,12,281.089423
-176.0,12,282.312406
-110.0,12,282.766742
-40.0,12,283.539208
-176.0,12,283.722013
-96.0,12,283.972929
-240.0,12,284.067417
-178.0,12,284.832691
-174.0,12,285.870193
-76.0,12,286.615736
-138.0,12,287.415698
-142.0,12,288.175587
-34.0,12,289.107826
-202.0,12,289.93401
-174.0,12,290.124886
-228.0,12,291.033239
-48.0,12,291.867509
-224.0,12,292.448643
-240.0,12,293.280212
-190.0,12,293.612932
-172.0,12,294.099241
-112.0,12,294.931896
34.0,12,296.000725
-84.0,12,296.132089
-190.0,12,296.185942
2.0,12,297.091846
-222.0,12,297.342373
-194.0,12,297.547366
48.0,12,298.332043
-148.0,12,299.073349
-30.0,12,299.373903
-166.0,12,299.95866
-182.0,12,300.364246
-116.0,12,302.047916
-198.0,12,302.189572
-104.0,12,302.24593
-122.0,12,302.826312
6.0,12,303.625188
-78.0,12,304.557182
-148.0,12,305.655601
-170.0,12,306.172254
-192.0,12,306.594356
-44.0,12,307.269829
-172.0,12,307.77355
-78.0,12,308.417169
-162.0,12,309.328459
-240.0,12,309.834953
-178.0,12,309.991292
-240.0,12,310.712636
-150.0,12,310.91711
-118.0,12,311.463242
-136.0,12,312.559729
-170.0,12,313.178306
-98.0,12,314.056664
54.0,12,314.069937
-150.0,12,315.120199
-8.0,12,315.720339
-94.0,12,316.592242
-240.0,12,317.176069
-58.0,12,317.349345
-38.0,12,317.999147
-118.0,12,318.159345
-192.0,12,319.15941
-112.0,12,319.803962
-96.0,12,320.507053
-202.0,12,321.465594
-138.0,12,322.337213
-60.0,12,322.553511
-2.0,12,323.500429
-164.0,12,323.907444
-220.0,12,325.010143
-118.0,12,325.448248
-20.0,12,325.692229
-206.0,12,326.635256
-240.0,12,327.148388
-152.0,12,327.439444
-42.0,12,328.362156
-56.0,12,328.642342
-204.0,12,329.730389
-64.0,12,330.884547
-240.0,12,331.547896
-92.0,12,332.177336
-240.0,12,332.541672
126.0,12,333.119368
-160.0,12,333.939492
-100.0,12,334.433347
-20.0,12,335.290432
-128.0,12,336.962812
-112.0,12,337.293119
-212.0,12,338.509615
-190.0,12,339.493148
-240.0,12,339.615581
-176.0,12,340.286394
-48.0,12,341.122713
-118.0,12,341.471284
-172.0,12,342.133467
-100.0,12,343.052484
-68.0,12,344.027989
-98.0,12,344.992294
-160.0,12,345.957059
-180.0,12,347.215173
-122.0,12,348.040492
-26.0,12,349.717726
-148.0,12,350.43835
-106.0,12,351.331736
-80.0,12,352.426216
-130.0,12,353.182091
-126.0,12,353.55638
-158.0,12,354.776302
-50.0,12,354.85733
-138.0,12,354.983804
-240.0,12,355.909919
-174.0,12,356.922536
-240.0,12,357.681003
-154.0,12,358.505751
-180.0,12,359.359777
-130.0,12,360.272569
-26.0,12,360.907136
20.0,12,361.700361
-172.0,12,361.780106
-202.0,12,362.667865
-118.0,12,362.814673
-114.0,12,363.729065
-202.0,12,364.514295
-22.0,12,365.201177
-206.0,12,365.925188
-104.0,12,366.890662
-102.0,12,367.689514
-240.0,12,368.728016
-240.0,12,368.893779
-222.0,12,369.790432
-148.0,12,370.612528
-106.0,12,372.088579
-152.0,12,373.194736
-136.0,12,374.135846
-192.0,12,375.363155
-224.0,12,376.243614
-168.0,12,376.816829
-240.0,12,377.75131
-170.0,12,378.598565
-124.0,12,379.567479
-160.0,12,380.041981
-128.0,12,380.289728
-120.0,12,381.034393
-70.0,12,381.4598
-138.0,12,382.543873
56.0,12,383.14636
-146.0,12,383.998102
-148.0,12,384.257391
-92.0,12,385.432851
-64.0,12,385.679472
-176.0,12,386.103151
-46.0,12,387.007111
-48.0,12,388.090602
-226.0,12,389.095893
-124.0,12,389.888584
-216.0,12,391.016314
-54.0,12,392.140223
-76.0,12,392.313368
-114.0,12,393.928694
-216.0,12,394.762257
-50.0,12,395.516143
-178.0,12,396.277814
-176.0,12,396.814214
-174.0,12,397.542608
-184.0,12,398.178838
-46.0,12,398.919732
-160.0,12,399.562097
-200.0,12,400.478793
-212.0,12,401.000152
-76.0,12,401.785074
-208.0,12,401.996634
-118.0,12,403.101473
-118.0,12,404.03648
-124.0,12,404.929289
-110.0,12,406.263426
-128.0,12,407.255006
-240.0,12,408.038782
-200.0,12,408.915709
-186.0,12,410.489623
-74.0,12,411.165668
-190.0,12,411.814828
-190.0,12,412.15928
-154.0,12,412.681371
-60.0,12,413.531772
-148.0,12,414.290627
-18.0,12,415.403843
-154.0,12,416.163323
-214.0,12,416.802107
-36.0,12,417.612247
-102.0,12,418.008138
-190.0,12,418.362923
-232.0,12,419.626499
-206.0,12,419.926664
